"","x","y"
"1389",0.237663188887591,-0.561692490807547
"1",0.21530032437558,-0.602008841359199
"45",0.184074465328571,-0.635496395441326
"699",-0.143709677624346,-0.263437444149026
"385",-0.158009105989392,-0.241159607404496
"1323",-0.142976392403855,-0.210028852880332
"3",-0.135655092651984,-0.196387038456549
"1205",0.331453930619556,-0.0752370751853269
"640",0.372955330949937,-0.0676345796662943
"810",0.389372704374065,-0.0685056577301506
"11",0.382363421836584,-0.0991940448932432
"1389.1",0.237663188887591,-0.561692490807547
