"","x","y"
"688",0.103098351014894,0.0590365846706398
"709",0.0598283178915719,-0.0339412293574816
"899",0.0412916425998224,-0.0312129864301077
"248",-0.0963733837543208,0.0195129595741484
"1262",-0.102926873811912,0.0303659175407741
"615",-0.113057060423819,0.0565220115760257
"1003",-0.0893411617662874,0.0885312379836574
"961",0.00259989474819215,0.144929192253828
"1152",0.0660706049742802,0.1836893519579
"1096",0.0768512991301394,0.187653692341535
"638",0.0929532795217108,0.191445177092519
"295",0.135306572417818,0.161885765529852
"688.1",0.103098351014894,0.0590365846706398
