"","x","y"
"11",-0.032779035641854,-0.0628612611122483
"595",0.000113747430317002,-0.0979599656892557
"1421",-0.0159946594328425,-0.102368745480861
"594",-0.050111313678055,-0.109763121117108
"488",-0.0670153976567133,-0.111280617960538
"725",-0.284112783474812,-0.129359354209452
"66",-0.28973238668713,-0.123279471182568
"1061",-0.289525900365202,-0.107523648608096
"729",-0.206219409550772,0.0726819492416229
"32",-0.191035418115721,0.0897815196748292
"1494",-0.171001742648027,0.0723301900975236
"1094",-0.0402749799637858,-0.0551394995824376
"11.1",-0.032779035641854,-0.0628612611122483
